Index,year,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Year,Station
27,,38,93,155,731,1220,-,-,186,-,79,55,41,year,1-105 Zambezi At Chavuma Mission (130400)
28,,39,96,162,755,1237,-,-,183,-,78,55,41,year,1-105 Zambezi At Chavuma Mission (130400)
29,,41,99,168,770,         ,-,-,178,-,77,55,40,year,1-105 Zambezi At Chavuma Mission (130400)
30,,42,101,175,771,         ,-,-,173,-,76,55,41,year,1-105 Zambezi At Chavuma Mission (130400)
31,,41,         ,180,774,         ,-,         ,171,         ,74,54,         ,year,1-105 Zambezi At Chavuma Mission (130400)
1,,35,38,51,129,221,1526,1096,379,176,105,74,47,year,1-105 Zambezi At Chavuma Mission (130400)
2,,35,41,52,129,223,1531,1062,361,173,104,73,46,year,1-105 Zambezi At Chavuma Mission (130400)
3,,35,42,54,131,229,1535,1032,351,170,103,72,45,year,1-105 Zambezi At Chavuma Mission (130400)
4,,35,43,56,134,234,1545,996,338,165,101,72,45,year,1-105 Zambezi At Chavuma Mission (130400)
5,,35,46,59,138,239,1566,962,327,162,101,71,43,year,1-105 Zambezi At Chavuma Mission (130400)
6,,35,47,62,138,242,1592,945,318,160,100,69,43,year,1-105 Zambezi At Chavuma Mission (130400)
7,,35,47,66,140,242,1614,905,309,156,99,68,42,year,1-105 Zambezi At Chavuma Mission (130400)
8,,35,48,71,141,252,1632,867,299,152,98,68,42,year,1-105 Zambezi At Chavuma Mission (130400)
9,,35,47,72,144,265,1646,837,292,149,95,68,41,year,1-105 Zambezi At Chavuma Mission (130400)
10,,35,47,76,145,278,1668,806,282,146,94,68,40,year,1-105 Zambezi At Chavuma Mission (130400)
11,,35,47,79,147,328,1672,778,276,144,92,66,39,year,1-105 Zambezi At Chavuma Mission (130400)
12,,35,49,82,151,364,1658,758,270,143,91,65,38,year,1-105 Zambezi At Chavuma Mission (130400)
13,,35,48,83,155,411,1619,732,262,140,91,65,38,year,1-105 Zambezi At Chavuma Mission (130400)
14,,35,48,85,160,474,1583,705,255,137,90,63,38,year,1-105 Zambezi At Chavuma Mission (130400)
15,,36,48,88,166,553,1539,686,248,135,89,62,37,year,1-105 Zambezi At Chavuma Mission (130400)
16,,36,47,90,170,609,1487,664,244,132,89,61,36,year,1-105 Zambezi At Chavuma Mission (130400)
17,,39,47,92,173,659,1433,638,238,128,87,61,36,year,1-105 Zambezi At Chavuma Mission (130400)
18,,40,47,91,176,708,1390,614,234,126,86,61,36,year,1-105 Zambezi At Chavuma Mission (130400)
19,,39,47,92,179,752,1352,591,228,126,85,60,36,year,1-105 Zambezi At Chavuma Mission (130400)
20,,37,47,93,191,811,1312,566,223,125,84,59,36,year,1-105 Zambezi At Chavuma Mission (130400)
21,,37,47,95,192,898,1283,546,217,122,84,58,36,year,1-105 Zambezi At Chavuma Mission (130400)
22,,38,47,98,196,1052,1252,524,212,119,83,57,36,year,1-105 Zambezi At Chavuma Mission (130400)
23,,37,46,101,201,1209,1230,508,207,118,81,57,36,year,1-105 Zambezi At Chavuma Mission (130400)
24,,39,47,103,203,1311,1193,487,204,116,81,55,35,year,1-105 Zambezi At Chavuma Mission (130400)
25,,38,47,107,201,1385,1185,468,199,115,80,55,35,year,1-105 Zambezi At Chavuma Mission (130400)
26,,38,48,113,199,1440,1199,450,196,115,79,54,35,year,1-105 Zambezi At Chavuma Mission (130400)
